Fuente,Ruta,Módulos en fuente,Nuevos aportados,Duplicados frente a acumulado
modulos.txt,/Users/davidquinza/Desktop/Máster Data Science/TFM/TFM_David_Quinzaños/Datos/modulos.txt,54278,54278,0
modulos_rsa_unicos_total_certificados.txt,/Users/davidquinza/Desktop/Máster Data Science/TFM/TFM_David_Quinzaños/Datos/modulos_rsa_unicos_total_certificados.txt,601,0,601
